book_url,name,author,genres,score,pages,description,cover link
https://www.chitai-gorod.ru/catalog/book/249541/,Основы учебного академического рисунка,Николай Ли,Изобразительное искусство,4.21,480,"В предлагаемой книге рассматриваются теоретические и методические вопросы изобразительной грамоты. Книга содержит полный объем основных учебных заданий по рисунку, расположенных в строгой последовательности усложнения задач; рассматривает основы композиции, перспективы, пропорции, законы светотени и пластической анатомии, дает представление о форме, объеме и конструкции. Особое внимание автор уделяет методике конструктивно-структурного изображения предметов, а также конструктивно-анатомическому анализу сложной живой формы, основанному на закономерностях их строения. Основные принципы учебного рисунка с натуры, приведенные в книге, способствуют формированию и развитию объемно-пространственных представлений и совершенствованию графических навыков у заинтересованных читателей.",https://img-gorod.ru/18/963/1896366_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2876233/,Король и Шут. Старая книга II. Незавершенные истории,Андрей Князев,Музыка,4.18,280,"«Король и Шут» — легендарная питерская панк?группа, чьи сказочные песни?«страшилки» прочно вошли в народный фольклор. История этой группы, кульминацией которой стала трагическая смерть Михаила Горшенева («Горшка»), продолжает волновать фанатов группы до сих пор. Во второй части «Старой книги» Андрей Князев, один из лидеров «Короля и Шута», автор музыки и всех текстов, а также оформитель альбомов коллектива, делится своими воспоминаниями, художественными рассказами, рисунками, письмами и комиксами, которые так или иначе связаны с творчеством «Короля и Шута».",https://img-gorod.ru/28/746/2874670_detail.jpg
https://www.chitai-gorod.ru/catalog/book/1013455/,Король и Шут. Старая книга,Андрей Князев,Музыка,3.99,280,"Андрей Князев - один из лидеров легендарной питерской рок-группы «Король и Шут», автор музыки и текстов, а так же, оформитель альбомов коллектива, ныне возглавляющий свою группу «КняZz», решил поделиться с поклонниками своими старыми черновиками. Магия личного пространства творца, первые версии любимых текстов, наброски - все это будет доступно в непосредственных копиях рукописных страниц, которые Андрей лично собрал в книгу.",https://img-gorod.ru/26/162/2616254_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2897680/,LOISH: Рисуем шаг за шагом,Ван Барле Л.,Изобразительное искусство,3.84,152,"В этой чудесной книге скрывается удивительный мир, изображенный глазами всемирно известной художницы LOISH.",https://img-gorod.ru/28/921/2892103_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2882507/,Критика чистого разума. Критика практического разума. Критика способности суждения,Иммануил Кант,Философия,4.32,1056,"Иммануил Кант — величайший из философов Нового времени, основоположник классической немецкой философии. Круг профессиональных интересов Канта был необычайно широк. Он разработал теорию происхождения солнечной системы, изучал землетрясения, читал лекции по физике и географии. Однако важнейшими работами Канта, совершившими подлинный переворот в области мысли, являются так называемые «Критики», включенные в настоящее издание: «Критика чистого разума» (1781), «Критика практического разума» (1788) и «Критика способности суждения» (1790). Эти труды во многом определили дальнейшее развитие философской мысли и оказали влияние на воззрения Шиллера, Гёте, Шеллинга, Гегеля, а также русских мыслителей XIX и XX веков; и по сей день наследие Иммануила Канта остается бесценным источником пищи для размышлений в области теории познания, философии нравственности и искусства.",https://img-gorod.ru/28/739/2873922_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2869720/,Красная книга,К.Г. Юнг,Философия,3.64,399,"Вашему вниманию предлагается книга ""Красная книга"" автор Юнг К.",https://img-gorod.ru/28/660/2866038_detail.jpg
https://www.chitai-gorod.ru/catalog/book/904235/,Иметь или быть,Эрих Фромм,Философия,3.87,320,"В своей знаменитой работе «Иметь или быть?» Эрих Фромм наглядно демонстрирует, к чему приводят отношения, сформированные по принципу «Ты — мне, я — тебе», и пытается ответить на вопрос, который в конечном итоге встает перед каждым: что все-таки важнее — обладание предметами материальной культуры или истинное, осмысленное бытие, когда человек по-настоящему проживает каждое мгновение своей жизни, осознавая его и наслаждаясь им во всей его полноте.",https://img-gorod.ru/25/223/2522306_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2877354/,Метафизика. Политика. Поэтика. Риторика,Аристотель,Философия,4.15,704,"В настоящую книгу включены четыре важнейших трактата Аристотеля – великого древнегреческого мыслителя, оказавшего огромное влияние на развитие европейской и мировой культуры, ученого-энциклопедиста, который стоял у истоков современной науки.",https://img-gorod.ru/28/673/2867337_detail.jpg
https://www.chitai-gorod.ru/catalog/book/957498/,Бегство от свободы,Эрих Фромм,Философия,3.93,288,"Эрих Фромм - выдающий мыслитель XX века, один из основателей неофрейдизма. Работы Фромма пользуются широчайшей популярностью во всем мире - еще при жизни основные его труды, посвященные этическим и социально-психологическим вопросам природы человека, выдержали десятки переизданий миллионными тиражами.",https://img-gorod.ru/25/733/2573393_detail.jpg
https://www.chitai-gorod.ru/catalog/book/1176955/,"""Несвятые святые"" и другие рассказы",Митрополит Тихон (Шевкунов),Религия,4.31,640,"Один подвижник как-то сказал, что всякий православный христианин может поведать свое Евангелие, свою Радостную Весть о встрече с Богом. Конечно, никто не сравнивает такие свидетельства с книгами апостолов, своими глазами видевших Сына Божия, жившего на земле. И все же мы, хоть и немощные, грешные, но Его ученики, и нет на свете ничего более прекрасного, чем созерцание поразительных действий Промысла Спасителя о нашем мире.",https://img-gorod.ru/27/189/2718922_detail.jpg
